layer_name,input,kv_cache,tp_size,latency(ns)
input_layernorm,1,0,1,135560
rope,1,0,1,0
embedding,1,0,1,33920
q_proj,1,0,1,54290
k_proj,1,0,1,42990
v_proj,1,0,1,40850
attn,1,0,1,940700
o_proj,1,0,1,52370
post_layernorm,1,0,1,134640
gate_proj,1,0,1,51550
up_proj,1,0,1,43750
act_fn,1,0,1,93379
down_proj,1,0,1,47131
final_layernorm,1,0,1,130660
lm_head,1,0,1,56740
input_layernorm,256,0,1,136120
rope,256,0,1,0
embedding,256,0,1,33620
q_proj,256,0,1,54490
k_proj,256,0,1,42540
v_proj,256,0,1,41190
attn,256,0,1,942180
o_proj,256,0,1,52720
post_layernorm,256,0,1,135410
gate_proj,256,0,1,51980
up_proj,256,0,1,43990
act_fn,256,0,1,88560
down_proj,256,0,1,55820
final_layernorm,256,0,1,133360
lm_head,256,0,1,58940
input_layernorm,512,0,1,134829
rope,512,0,1,0
embedding,512,0,1,34271
q_proj,512,0,1,54490
k_proj,512,0,1,42991
v_proj,512,0,1,41150
attn,512,0,1,944678
o_proj,512,0,1,52940
post_layernorm,512,0,1,137009
gate_proj,512,0,1,51380
up_proj,512,0,1,44190
act_fn,512,0,1,93431
down_proj,512,0,1,50429
final_layernorm,512,0,1,140380
lm_head,512,0,1,57620
input_layernorm,768,0,1,143410
rope,768,0,1,0
embedding,768,0,1,34400
q_proj,768,0,1,55330
k_proj,768,0,1,43900
v_proj,768,0,1,43650
attn,768,0,1,940100
o_proj,768,0,1,52810
post_layernorm,768,0,1,143890
gate_proj,768,0,1,52180
up_proj,768,0,1,44000
act_fn,768,0,1,91390
down_proj,768,0,1,49040
final_layernorm,768,0,1,131500
lm_head,768,0,1,58440
input_layernorm,1024,0,1,134550
rope,1024,0,1,0
embedding,1024,0,1,33640
q_proj,1024,0,1,56280
k_proj,1024,0,1,43500
v_proj,1024,0,1,40980
attn,1024,0,1,921700
o_proj,1024,0,1,54780
post_layernorm,1024,0,1,135690
gate_proj,1024,0,1,52570
up_proj,1024,0,1,43880
act_fn,1024,0,1,94510
down_proj,1024,0,1,47010
final_layernorm,1024,0,1,133590
lm_head,1024,0,1,58050
input_layernorm,1280,0,1,135370
rope,1280,0,1,0
embedding,1280,0,1,36940
q_proj,1280,0,1,54700
k_proj,1280,0,1,48290
v_proj,1280,0,1,41980
attn,1280,0,1,936610
o_proj,1280,0,1,61370
post_layernorm,1280,0,1,136040
