id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,17,190,OK,5.982,4.788,910.838,209.98,190,
1,59,293,OK,6.061,4.784,1402.983,209.75,293,
2,21,320,OK,5.951,4.788,1533.246,209.52,320,
3,165,204,OK,7.418,4.778,977.442,210.3,204,
4,6,234,OK,5.707,4.797,1123.363,209.37,234,
5,1,32,OK,5.721,4.773,153.681,216.27,32,
6,177,506,OK,7.347,4.796,2429.4,208.91,506,
7,9,40,OK,5.82,4.8,193.028,213.67,40,
8,8,605,OK,5.702,4.787,2897.124,209.24,605,
9,15,62,OK,5.914,4.76,296.303,213.51,62,
10,75,67,OK,6.445,4.78,321.943,212.36,67,
11,4,346,OK,5.762,4.774,1652.678,210.09,346,
12,1245,632,OK,32.32,4.83,3080.222,207.36,632,
13,2,461,OK,5.879,4.76,2195.392,210.55,461,
14,15,558,OK,5.82,4.773,2664.599,209.87,558,
15,10,86,OK,5.821,4.804,414.152,210.61,86,
16,11,222,OK,5.672,4.771,1060.134,210.53,222,
17,66,445,OK,6.462,4.782,2129.609,209.59,445,
18,21,112,OK,5.978,4.76,534.336,211.98,112,
19,52,484,OK,6.147,4.79,2319.846,209.19,484,
20,13,390,OK,5.895,4.801,1873.508,208.82,390,
21,14,253,OK,5.807,4.797,1214.672,209.29,253,
22,22,75,OK,5.933,4.75,357.465,213.35,75,
23,12,211,OK,5.687,4.791,1011.812,209.72,211,
24,20,274,OK,5.889,4.78,1310.846,209.97,274,
25,11,38,OK,5.671,4.778,182.451,214.96,38,
26,51,491,OK,6.045,4.798,2357.076,208.84,491,
27,15,279,OK,5.748,4.788,1336.747,209.62,279,
28,8,399,OK,5.804,4.782,1908.984,209.65,399,
29,24,1,OK,5.972,0,5.789,0,1,
30,50,531,OK,6.087,4.793,2546.456,209.02,531,
31,40,246,OK,6.178,4.764,1173.26,210.78,246,
32,9,229,OK,5.858,4.762,1091.6,210.92,229,
33,25,547,OK,5.889,4.777,2614.253,209.71,547,
34,147,585,OK,7.225,4.781,2799.405,209.51,585,
35,28,395,OK,6.0,4.777,1888.262,209.85,395,
36,19,430,OK,5.95,4.788,2059.805,209.36,430,
37,8,1083,OK,5.743,4.782,5179.691,209.32,1083,
38,185,329,OK,7.522,4.78,1575.318,209.85,329,
39,29,461,OK,5.968,4.78,2204.908,209.65,461,
40,48,281,OK,6.171,4.76,1338.971,210.83,281,
41,3,396,OK,5.829,4.75,1882.217,211.04,396,
42,377,99,OK,10.809,4.771,478.355,211.74,99,
43,48,355,OK,6.081,4.76,1691.1,210.68,355,
44,185,526,OK,7.327,4.778,2515.974,209.67,526,
45,10,733,OK,5.852,4.772,3499.168,209.83,733,
46,26,411,OK,5.978,4.759,1957.172,210.64,411,
47,42,251,OK,6.127,4.76,1196.135,210.92,251,
48,758,222,OK,18.163,4.808,1080.762,208.92,222,
49,7,416,OK,5.912,4.81,2002.092,208.4,416,
