id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,3278,75,OK,181.315,10.82,982.007,93.67,75,
1,7139,96,OK,447.624,11.427,1533.209,88.43,96,
2,1631,114,OK,81.157,10.585,1277.244,95.31,114,
3,5532,260,OK,384.261,11.193,3283.174,89.69,260,
4,4793,410,OK,362.57,11.081,4894.834,90.46,410,
5,6830,153,OK,440.126,11.37,2168.371,88.53,153,
6,3677,151,OK,191.517,10.895,1825.814,92.39,151,
7,2822,1203,OK,171.07,10.842,13203.692,92.31,1203,
8,3618,118,OK,190.681,10.901,1466.137,92.52,118,
9,1258,89,OK,76.097,10.525,1002.284,96.09,89,
10,5574,115,OK,385.326,11.199,1662.007,90.08,115,
11,4472,173,OK,350.204,11.022,2245.942,91.26,173,
12,43,4318,OK,11.5,10.663,46044.843,93.8,4318,
13,1479,225,OK,77.821,10.581,2447.987,94.93,225,
14,7474,227,OK,466.891,11.48,3061.476,87.49,227,
15,6853,186,OK,441.677,11.381,2547.171,88.34,186,
16,4857,141,OK,363.706,11.072,1913.731,90.97,141,
17,2082,272,OK,159.569,10.672,3051.658,94.05,272,
18,2202,392,OK,160.635,10.69,4340.574,93.78,392,
19,3413,167,OK,182.518,10.855,1984.392,92.68,167,
20,6709,231,OK,437.145,11.373,3053.006,88.31,231,
21,5008,309,OK,366.84,11.117,3791.026,90.24,309,
22,7281,220,OK,461.986,11.451,2969.853,87.72,220,
23,4889,149,OK,364.796,11.074,2003.684,90.92,149,
24,1957,153,OK,83.401,10.646,1701.599,94.55,153,
25,2288,407,OK,161.123,10.714,4510.874,93.57,407,
26,6840,193,OK,440.056,11.381,2625.243,88.32,193,
27,7815,245,OK,488.59,11.531,3302.189,87.08,245,
28,2048,98,OK,84.01,10.671,1119.11,94.68,98,
29,5016,179,OK,366.738,11.114,2345.073,90.48,179,
30,6123,183,OK,404.488,11.287,2458.785,89.08,183,
31,3225,434,OK,180.22,10.855,4880.268,92.34,434,
32,6622,148,OK,425.47,11.361,2095.558,88.62,148,
33,7370,227,OK,465.16,11.464,3055.919,87.62,227,
34,4423,344,OK,350.099,11.037,4135.62,90.87,344,
35,5373,214,OK,380.718,11.162,2758.277,90.01,214,
36,6942,161,OK,443.188,11.399,2266.97,88.28,161,
37,5349,169,OK,380.654,11.159,2255.326,90.15,169,
38,7729,176,OK,485.237,11.535,2503.884,87.19,176,
39,5063,263,OK,368.016,11.137,3285.78,90.14,263,
40,2465,135,OK,163.09,10.72,1599.623,93.98,135,
41,5896,271,OK,400.42,11.249,3437.673,89.23,271,
42,4115,179,OK,345.262,10.983,2300.317,91.56,179,
43,6595,251,OK,425.332,11.362,3265.822,88.37,251,
44,3536,196,OK,184.274,10.897,2309.093,92.24,196,
45,4346,309,OK,348.238,11.014,3740.588,91.09,309,
46,7425,171,OK,466.821,11.466,2416.04,87.73,171,
47,5852,138,OK,399.322,11.226,1937.278,89.73,138,
48,1124,5890,OK,75.441,10.955,64590.708,91.3,5890,
49,4158,270,OK,345.547,10.986,3300.784,91.36,270,
