id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,748,76,OK,39.787,10.445,823.16,97.02,76,
1,930,74,OK,40.271,10.48,805.319,96.73,74,
2,470,70,OK,21.543,10.422,740.634,97.35,70,
3,258,39,OK,21.003,10.371,415.116,98.96,39,
4,1232,84,OK,75.952,10.526,949.633,96.14,84,
5,249,52,OK,14.492,10.366,543.133,98.37,52,
6,2080,58,OK,159.393,10.678,768.044,95.29,58,
7,364,58,OK,21.229,10.388,613.322,97.96,58,
8,422,68,OK,21.304,10.401,718.156,97.58,68,
9,1142,52,OK,75.246,10.526,612.052,96.87,52,
10,1340,81,OK,76.419,10.535,919.189,96.11,81,
11,363,64,OK,21.219,10.39,675.758,97.78,64,
12,1107,83,OK,75.234,10.518,937.679,96.24,83,
13,1289,88,OK,76.322,10.528,992.25,96.08,88,
14,1065,74,OK,74.836,10.53,843.533,96.27,74,
15,227,79,OK,14.579,10.368,823.315,97.68,79,
16,414,52,OK,21.399,10.394,551.47,98.1,52,
17,1428,114,OK,77.11,10.555,1269.813,95.58,114,
18,404,58,OK,21.387,10.39,613.61,97.94,58,
19,878,38,OK,40.138,10.461,427.194,98.18,38,
20,868,64,OK,40.009,10.464,699.221,97.09,64,
21,1396,52,OK,76.797,10.542,614.43,96.72,52,
22,883,110,OK,40.102,10.469,1181.218,96.4,110,
23,795,55,OK,39.878,10.453,604.349,97.44,55,
24,1374,76,OK,76.816,10.537,867.11,96.17,76,
25,666,36,OK,39.341,10.444,404.864,98.49,36,
26,856,81,OK,40.044,10.466,877.332,96.74,81,
27,1158,69,OK,75.584,10.523,791.12,96.43,69,
28,685,53,OK,39.314,10.444,582.378,97.59,53,
29,712,19,OK,39.547,10.438,227.438,101.12,19,
30,1383,79,OK,76.718,10.54,898.806,96.1,79,
31,875,55,OK,40.079,10.462,605.045,97.35,55,
32,413,47,OK,21.372,10.395,499.547,98.29,47,
33,693,56,OK,39.285,10.441,613.535,97.52,56,
34,1728,121,OK,81.397,10.602,1353.637,95.11,121,
35,727,115,OK,39.636,10.449,1230.791,96.54,115,
36,2727,119,OK,169.743,10.752,1438.522,93.79,119,
37,1297,51,OK,76.416,10.534,603.1,96.83,51,
38,1420,55,OK,77.057,10.556,647.062,96.49,55,
39,857,47,OK,40.082,10.466,521.514,97.63,47,
40,323,76,OK,21.239,10.385,800.117,97.58,76,
41,1488,68,OK,77.491,10.573,785.869,95.99,68,
42,944,41,OK,40.307,10.479,459.482,97.81,41,
43,835,84,OK,39.987,10.465,908.579,96.71,84,
44,2023,71,OK,83.919,10.662,830.289,95.13,71,
45,1106,86,OK,75.273,10.523,969.755,96.14,86,
46,620,59,OK,39.062,10.445,644.862,97.39,59,
47,536,96,OK,38.768,10.444,1030.962,96.76,96,
48,1370,74,OK,76.864,10.546,846.703,96.12,74,
49,1799,99,OK,82.357,10.612,1122.329,95.19,99,
