id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,714,42,OK,31.89,14.808,639.028,69.18,42,
1,1188,57,OK,56.888,14.955,894.367,68.06,57,
2,396,46,OK,19.29,14.785,684.632,69.14,46,
3,919,85,OK,31.972,14.918,1285.098,67.83,85,
4,1080,48,OK,56.068,14.896,756.184,68.56,48,
5,717,118,OK,30.943,14.844,1767.644,67.94,118,
6,640,70,OK,30.244,14.823,1053.059,68.44,70,
7,308,64,OK,18.734,14.753,948.188,68.86,64,
8,740,55,OK,31.009,14.871,834.037,68.49,55,
9,696,102,OK,30.671,14.865,1532.003,67.94,102,
10,394,35,OK,19.314,14.812,522.908,69.5,35,
11,382,46,OK,19.033,14.684,679.801,69.62,46,
12,589,59,OK,30.387,14.764,886.695,68.9,59,
13,406,68,OK,19.3,14.751,1007.638,68.8,68,
14,973,66,OK,32.3,14.98,1006.006,67.78,66,
15,530,65,OK,30.108,14.835,979.565,68.46,65,
16,542,80,OK,29.949,14.814,1200.233,68.36,80,
17,1856,110,OK,59.09,15.165,1712.125,66.54,110,
18,1448,100,OK,57.026,15.118,1553.737,66.81,100,
19,968,39,OK,32.295,14.91,598.879,68.83,39,
20,965,131,OK,32.193,14.935,1973.688,67.47,131,
21,714,74,OK,30.907,14.864,1115.981,68.2,74,
22,1266,93,OK,56.076,15.054,1441.069,67.15,93,
23,675,75,OK,30.594,14.904,1133.463,68.0,75,
24,1324,85,OK,56.464,15.07,1322.323,67.15,85,
25,897,90,OK,31.913,14.935,1361.167,67.71,90,
26,1012,25,OK,32.303,15.001,392.333,69.44,25,
27,293,50,OK,18.635,14.813,744.479,68.89,50,
28,527,80,OK,29.963,14.838,1202.169,68.25,80,
29,835,57,OK,31.62,14.937,868.119,68.14,57,
30,711,89,OK,30.916,14.887,1340.96,67.94,89,
31,859,73,OK,31.617,15.008,1112.18,67.56,73,
32,704,80,OK,30.572,14.848,1203.599,68.2,80,
33,551,47,OK,29.986,14.859,713.522,68.76,47,
34,524,44,OK,29.979,14.862,669.046,68.85,44,
35,466,44,OK,19.548,14.818,656.705,69.06,44,
36,639,18,OK,30.344,14.846,282.728,71.32,18,
37,586,41,OK,30.238,14.941,627.863,68.6,41,
38,791,42,OK,31.317,14.938,643.756,68.58,42,
39,579,44,OK,30.231,14.953,673.2,68.43,44,
40,756,38,OK,30.975,14.876,581.384,69.04,38,
41,512,43,OK,19.566,14.825,642.199,69.06,43,
42,1452,61,OK,57.04,15.132,964.985,67.18,61,
43,1110,64,OK,55.352,15.041,1002.904,67.54,64,
44,420,64,OK,19.378,14.86,955.554,68.36,64,
45,980,80,OK,32.333,14.969,1214.857,67.65,80,
46,645,55,OK,30.539,14.895,834.88,68.38,55,
47,759,60,OK,30.992,14.947,912.861,68.04,60,
48,1263,110,OK,56.118,15.087,1700.637,66.89,110,
49,507,59,OK,19.72,14.805,878.423,68.71,59,
