id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,14,165,OK,16.757,14.666,2421.933,68.6,165,
1,21,134,OK,16.315,14.697,1970.975,68.55,134,
2,56,462,OK,16.294,14.762,6821.761,67.89,462,
3,84,76,OK,16.604,14.756,1123.322,68.67,76,
4,27,128,OK,16.291,14.743,1888.595,68.36,128,
5,1,23,OK,15.306,14.712,338.98,71.06,23,
6,22,302,OK,16.509,14.73,4450.108,68.12,302,
7,14,296,OK,16.319,14.755,4369.029,68.0,296,
8,7,405,OK,15.92,14.751,5975.408,67.96,405,
9,48,572,OK,16.204,14.817,8476.556,67.61,572,
10,16,519,OK,15.866,14.808,7686.369,67.66,519,
11,371,382,OK,19.177,14.904,5697.61,67.27,382,
12,223,87,OK,16.758,14.843,1293.251,68.16,87,
13,13,199,OK,15.997,14.82,2950.43,67.82,199,
14,796,768,OK,31.466,15.102,11614.748,66.3,768,
15,1211,240,OK,57.595,15.137,3675.242,66.34,240,
16,14,561,OK,16.443,14.857,8336.162,67.43,561,
17,11,125,OK,16.127,14.783,1849.223,68.19,125,
18,24,168,OK,16.211,14.824,2491.89,67.86,168,
19,7,306,OK,16.179,14.814,4534.542,67.72,306,
20,59,19,OK,16.684,14.737,281.959,71.62,19,
21,2,10,OK,16.303,14.901,150.411,74.57,10,
22,80,492,OK,16.481,14.844,7304.934,67.5,492,
23,28,286,OK,16.499,14.793,4232.377,67.84,286,
24,14,69,OK,16.287,14.763,1020.189,68.73,69,
25,507,142,OK,19.872,14.915,2122.947,67.52,142,
26,3,25,OK,16.09,14.71,369.135,70.81,25,
27,39,241,OK,16.081,14.793,3566.425,67.88,241,
28,11,212,OK,16.143,14.782,3135.056,67.97,212,
29,1189,1,OK,57.35,0,57.577,4406.45,1,
30,1,752,OK,16.33,14.831,11154.728,67.51,752,
31,25,582,OK,16.279,14.833,8634.512,67.53,582,
32,75,259,OK,16.537,14.828,3842.114,67.7,259,
33,2,106,OK,16.208,14.75,1564.916,68.44,106,
34,3,556,OK,16.099,14.819,8240.776,67.6,556,
35,6,676,OK,16.077,14.805,10009.517,67.64,676,
36,233,396,OK,16.681,14.84,5878.646,67.55,396,
37,9,127,OK,16.241,14.744,1874.009,68.36,127,
38,21,706,OK,16.216,14.863,10494.592,67.38,706,
39,34,199,OK,16.322,14.793,2945.334,67.94,199,
40,10,493,OK,16.238,14.816,7305.741,67.63,493,
41,46,259,OK,16.084,14.805,3835.847,67.81,259,
42,19,768,OK,16.236,14.841,11399.516,67.47,768,
43,1,9,OK,15.777,14.65,132.977,76.79,9,
44,3,271,OK,15.982,14.761,4001.442,68.0,271,
45,719,58,OK,31.236,14.926,882.041,68.17,58,
46,3,407,OK,16.402,14.808,6028.546,67.7,407,
47,8,278,OK,15.774,14.781,4110.146,67.9,278,
48,38,404,OK,16.259,14.814,5986.205,67.67,404,
49,42,427,OK,16.11,14.796,6319.227,67.74,427,
