id,input_len,output_len,status,ttft_ms,tpot_ms,e2e_ms,decode_throughput_tps,n_generated,error
0,36,619,OK,16.707,14.74,9126.081,67.95,619,
1,23,480,OK,15.987,14.748,7080.075,67.95,480,
2,34,1143,OK,16.156,14.843,16966.631,67.43,1143,
3,30,229,OK,16.049,14.73,3374.602,68.18,229,
4,26,806,OK,16.103,14.791,11922.581,67.69,806,
5,8,401,OK,15.797,14.755,5917.922,67.94,401,
6,34,495,OK,16.334,14.758,7306.815,67.9,495,
7,41,178,OK,16.37,14.754,2627.757,68.16,178,
8,58,770,OK,16.192,14.802,11399.22,67.64,770,
9,12,677,OK,16.066,14.754,9989.534,67.88,677,
10,55,833,OK,16.186,14.783,12315.891,67.73,833,
11,54,311,OK,16.137,14.754,4589.748,68.0,311,
12,37,492,OK,16.152,14.734,7250.676,68.01,492,
13,7,430,OK,16.223,14.724,6332.971,68.07,430,
14,27,825,OK,16.013,14.784,12198.159,67.72,825,
15,45,793,OK,16.464,14.753,11700.827,67.87,793,
16,27,328,OK,16.332,14.717,4828.681,68.16,328,
17,16,1529,OK,16.062,14.848,22703.795,67.39,1529,
18,11,439,OK,16.045,14.712,6459.956,68.13,439,
19,46,1809,OK,16.124,14.88,26918.331,67.24,1809,
20,20,794,OK,16.285,14.749,11712.255,67.89,794,
21,32,901,OK,16.333,14.781,13319.461,67.73,901,
22,21,230,OK,16.218,14.704,3383.361,68.31,230,
23,20,197,OK,15.782,14.683,2893.568,68.46,197,
24,20,392,OK,15.731,14.717,5770.268,68.12,392,
25,45,1403,OK,16.171,14.849,20835.142,67.39,1403,
26,19,779,OK,16.259,14.737,11481.543,67.94,779,
27,29,270,OK,15.766,14.657,3958.407,68.48,270,
28,20,543,OK,16.052,14.716,7992.046,68.08,543,
29,29,378,OK,16.204,14.685,5552.28,68.28,378,
30,34,1120,OK,16.167,14.755,16526.49,67.84,1120,
31,64,895,OK,16.54,14.752,13205.175,67.86,895,
32,51,613,OK,15.88,14.735,9034.003,67.97,613,
33,40,987,OK,16.228,14.768,14577.618,67.78,987,
34,19,343,OK,16.33,14.69,5040.274,68.27,343,
35,52,1693,OK,16.202,14.868,25172.49,67.3,1693,
36,22,832,OK,16.258,14.727,12254.481,67.98,832,
37,62,251,OK,16.383,14.678,3685.886,68.4,251,
38,53,433,OK,16.397,14.696,6365.214,68.2,433,
39,13,610,OK,15.706,14.715,8977.129,68.07,610,
40,26,697,OK,16.027,14.716,10258.382,68.05,697,
41,48,443,OK,16.025,14.708,6516.885,68.14,443,
42,61,1267,OK,16.0,14.783,18731.827,67.7,1267,
43,14,203,OK,15.858,14.654,2975.98,68.58,203,
44,26,593,OK,16.141,14.713,8726.231,68.08,593,
45,24,234,OK,16.52,14.668,3434.253,68.47,234,
46,63,934,OK,16.432,14.764,13791.673,67.8,934,
47,33,753,OK,16.201,14.733,11095.241,67.97,753,
48,18,1107,OK,16.009,14.752,16331.249,67.85,1107,
49,30,1674,OK,16.176,14.85,24859.634,67.38,1674,
