run_id,batch_size,input_lens,output_lens,n_generated,max_input_len,max_output_len,batch_e2e_ms,status
0,2,"[66, 21]","[554, 466]","[554, 466]",66,554,8332.63,OK
1,2,"[62, 22]","[1845, 755]","[1845, 755]",62,1845,27923.072,OK
2,2,"[39, 40]","[994, 349]","[994, 349]",40,994,14899.798,OK
3,2,"[25, 15]","[809, 416]","[809, 416]",25,809,12132.141,OK
4,2,"[17, 13]","[696, 512]","[696, 512]",17,696,10461.817,OK
5,2,"[22, 24]","[477, 692]","[477, 692]",24,692,10411.444,OK
6,2,"[44, 39]","[308, 378]","[308, 378]",44,378,5686.644,OK
7,2,"[73, 52]","[1041, 560]","[1041, 560]",73,1041,15660.19,OK
8,2,"[39, 32]","[785, 538]","[785, 538]",39,785,11795.311,OK
9,2,"[55, 51]","[482, 1136]","[482, 1136]",55,1136,17071.789,OK
10,2,"[25, 44]","[791, 554]","[791, 554]",44,791,11892.404,OK
11,2,"[61, 25]","[548, 948]","[548, 948]",61,948,14262.549,OK
12,2,"[33, 17]","[1127, 341]","[1127, 341]",33,1127,16872.64,OK
13,2,"[54, 54]","[259, 1405]","[259, 1405]",54,1405,21055.423,OK
14,2,"[19, 42]","[539, 1517]","[539, 1517]",42,1517,22831.944,OK
15,2,"[14, 28]","[834, 589]","[834, 589]",28,834,12554.614,OK
16,2,"[19, 34]","[1916, 740]","[1916, 740]",34,1916,28939.135,OK
17,2,"[16, 42]","[580, 1198]","[580, 1198]",42,1198,18015.644,OK
18,2,"[26, 28]","[350, 1302]","[350, 1302]",28,1302,19520.938,OK
19,2,"[27, 30]","[391, 1016]","[391, 1016]",30,1016,15221.528,OK
20,2,"[52, 13]","[1584, 1219]","[1584, 1219]",52,1584,24047.373,OK
21,2,"[31, 23]","[1936, 1531]","[1936, 1531]",31,1936,29488.587,OK
22,2,"[39, 19]","[550, 206]","[550, 206]",39,550,8196.245,OK
23,2,"[9, 39]","[1074, 635]","[1074, 635]",39,1074,16136.539,OK
24,2,"[37, 15]","[594, 164]","[594, 164]",37,594,8850.333,OK
25,2,"[17, 9]","[500, 642]","[500, 642]",17,642,9668.558,OK
26,2,"[42, 46]","[931, 202]","[931, 202]",46,931,13917.913,OK
27,2,"[17, 10]","[665, 951]","[665, 951]",17,951,14355.858,OK
28,2,"[58, 29]","[303, 317]","[303, 317]",58,317,4770.715,OK
29,2,"[35, 26]","[750, 257]","[750, 257]",35,750,11215.94,OK
30,2,"[28, 19]","[303, 296]","[303, 296]",28,303,4551.001,OK
31,2,"[31, 32]","[1251, 1988]","[1251, 1988]",32,1988,30208.718,OK
32,2,"[27, 39]","[821, 413]","[821, 413]",39,821,12286.173,OK
33,2,"[41, 20]","[195, 290]","[195, 290]",41,290,4346.201,OK
34,2,"[23, 20]","[947, 580]","[947, 580]",23,947,14234.167,OK
35,2,"[12, 29]","[285, 1754]","[285, 1754]",29,1754,26365.691,OK
36,2,"[15, 31]","[286, 1108]","[286, 1108]",31,1108,16562.698,OK
37,2,"[25, 29]","[216, 556]","[216, 556]",29,556,8295.101,OK
38,2,"[33, 33]","[1701, 1622]","[1701, 1622]",33,1701,25892.942,OK
39,2,"[37, 22]","[580, 639]","[580, 639]",37,639,9605.603,OK
40,2,"[14, 22]","[461, 172]","[461, 172]",22,461,6850.794,OK
41,2,"[21, 11]","[953, 390]","[953, 390]",21,953,14235.253,OK
42,2,"[38, 38]","[1049, 631]","[1049, 631]",38,1049,15751.074,OK
43,2,"[51, 6]","[1319, 723]","[1319, 723]",51,1319,19842.028,OK
44,2,"[21, 44]","[476, 326]","[476, 326]",44,476,7117.439,OK
45,2,"[17, 55]","[1059, 157]","[1059, 157]",55,1059,15787.072,OK
46,2,"[13, 27]","[224, 679]","[224, 679]",27,679,10145.302,OK
47,2,"[9, 37]","[382, 1413]","[382, 1413]",37,1413,21196.522,OK
48,2,"[24, 22]","[171, 855]","[171, 855]",24,855,12753.629,OK
49,2,"[31, 32]","[910, 1011]","[910, 1011]",32,1011,15279.189,OK
