run_id,batch_size,input_lens,output_lens,n_generated,max_input_len,max_output_len,batch_e2e_ms,status
0,4,"[455, 442, 413, 645]","[34, 26, 64, 49]","[34, 26, 64, 49]",645,64,1038.34,OK
1,4,"[825, 864, 1646, 1346]","[81, 84, 62, 76]","[81, 84, 62, 76]",1646,84,1449.885,OK
2,4,"[746, 710, 1322, 750]","[97, 44, 63, 50]","[97, 44, 63, 50]",1322,97,1604.33,OK
3,4,"[986, 1454, 893, 1361]","[43, 52, 73, 105]","[43, 52, 73, 105]",1454,105,1761.95,OK
4,4,"[1263, 603, 1152, 520]","[67, 43, 48, 60]","[67, 43, 48, 60]",1263,67,1179.836,OK
5,4,"[844, 836, 1303, 794]","[89, 98, 113, 81]","[89, 98, 113, 81]",1303,113,1891.135,OK
6,4,"[977, 325, 905, 1288]","[84, 63, 84, 88]","[84, 63, 84, 88]",1288,88,1501.661,OK
7,4,"[863, 922, 838, 485]","[57, 34, 29, 41]","[57, 34, 29, 41]",922,57,964.405,OK
8,4,"[1197, 743, 385, 767]","[133, 75, 50, 76]","[133, 75, 50, 76]",1197,133,2133.432,OK
9,4,"[508, 988, 901, 1010]","[55, 72, 49, 26]","[55, 72, 49, 26]",1010,72,1229.062,OK
10,4,"[502, 624, 493, 1333]","[48, 50, 91, 56]","[48, 50, 91, 56]",1333,91,1514.996,OK
11,4,"[563, 914, 1603, 913]","[50, 90, 54, 101]","[50, 90, 54, 101]",1603,101,1716.527,OK
12,4,"[556, 631, 447, 868]","[90, 42, 42, 74]","[90, 42, 42, 74]",868,90,1427.893,OK
13,4,"[664, 713, 1030, 622]","[81, 61, 48, 25]","[81, 61, 48, 25]",1030,81,1356.699,OK
14,4,"[888, 789, 985, 602]","[53, 61, 65, 60]","[53, 61, 65, 60]",985,65,1141.415,OK
15,4,"[902, 800, 755, 933]","[41, 62, 75, 40]","[41, 62, 75, 40]",933,75,1286.566,OK
16,4,"[1109, 1333, 1130, 743]","[61, 61, 61, 139]","[61, 61, 61, 139]",1333,139,2222.466,OK
17,4,"[1031, 415, 1214, 555]","[50, 59, 105, 99]","[50, 59, 105, 99]",1214,105,1774.084,OK
18,4,"[264, 792, 603, 554]","[38, 46, 55, 40]","[38, 46, 55, 40]",792,55,890.621,OK
19,4,"[1164, 402, 513, 1183]","[77, 61, 44, 69]","[77, 61, 44, 69]",1183,77,1334.484,OK
20,4,"[651, 1159, 529, 229]","[72, 60, 45, 35]","[72, 60, 45, 35]",1159,72,1167.846,OK
21,4,"[1673, 741, 1174, 274]","[171, 96, 60, 47]","[171, 96, 60, 47]",1673,171,2747.707,OK
22,4,"[813, 1243, 755, 1249]","[55, 77, 42, 72]","[55, 77, 42, 72]",1249,77,1329.675,OK
23,4,"[257, 1370, 1220, 548]","[57, 70, 49, 63]","[57, 70, 49, 63]",1370,70,1207.166,OK
24,4,"[1096, 1056, 1621, 583]","[90, 50, 119, 62]","[90, 50, 119, 62]",1621,119,2007.079,OK
25,4,"[525, 328, 1486, 966]","[95, 53, 34, 72]","[95, 53, 34, 72]",1486,95,1574.508,OK
26,4,"[1603, 941, 924, 1097]","[52, 28, 44, 69]","[52, 28, 44, 69]",1603,69,1182.604,OK
27,4,"[872, 1243, 466, 429]","[50, 40, 47, 47]","[50, 40, 47, 47]",1243,50,810.143,OK
28,4,"[713, 407, 361, 1419]","[64, 65, 22, 72]","[64, 65, 22, 72]",1419,72,1229.667,OK
29,4,"[399, 200, 587, 682]","[59, 53, 83, 47]","[59, 53, 83, 47]",682,83,1333.188,OK
30,4,"[1393, 740, 495, 219]","[64, 50, 46, 55]","[64, 50, 46, 55]",1393,64,1108.423,OK
31,4,"[898, 694, 1146, 1060]","[72, 51, 72, 64]","[72, 51, 72, 64]",1146,72,1259.573,OK
32,4,"[1555, 721, 355, 856]","[20, 28, 65, 34]","[20, 28, 65, 34]",1555,65,1093.822,OK
33,4,"[466, 747, 719, 842]","[70, 52, 83, 77]","[70, 52, 83, 77]",842,83,1357.421,OK
34,4,"[616, 519, 971, 584]","[74, 40, 43, 56]","[74, 40, 43, 56]",971,74,1245.862,OK
35,4,"[918, 231, 519, 757]","[26, 66, 106, 91]","[26, 66, 106, 91]",918,106,1677.525,OK
36,4,"[1247, 1755, 1633, 227]","[33, 125, 69, 38]","[33, 125, 69, 38]",1755,125,2099.72,OK
37,4,"[823, 1051, 289, 744]","[44, 86, 41, 48]","[44, 86, 41, 48]",1051,86,1448.106,OK
38,4,"[615, 1179, 433, 538]","[56, 62, 40, 63]","[56, 62, 40, 63]",1179,63,1100.86,OK
39,4,"[1066, 571, 702, 1435]","[49, 51, 59, 63]","[49, 51, 59, 63]",1435,63,1135.449,OK
40,4,"[375, 1274, 438, 843]","[32, 53, 47, 70]","[32, 53, 47, 70]",1274,70,1198.188,OK
41,4,"[778, 632, 732, 746]","[72, 56, 76, 57]","[72, 56, 76, 57]",778,76,1304.515,OK
42,4,"[834, 680, 890, 1013]","[74, 43, 71, 103]","[74, 43, 71, 103]",1013,103,1721.223,OK
43,4,"[556, 810, 656, 1662]","[69, 46, 43, 52]","[69, 46, 43, 52]",1662,69,1184.9,OK
44,4,"[822, 554, 253, 371]","[80, 60, 49, 30]","[80, 60, 49, 30]",822,80,1262.865,OK
45,4,"[673, 460, 499, 1204]","[44, 58, 44, 104]","[44, 58, 44, 104]",1204,104,1725.991,OK
