prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
32,32,1,True,24134027.800050717,1014189.9999780435,116554959.00004098,116554959.00004098
32,64,1,True,34355274.79996381,981179.9999397409,167618484.9999345,167618484.9999345
32,96,1,True,37739180.40003537,1026030.0000481948,184460183.0000556,184460183.0000556
64,64,1,True,43647032.19998773,982460.0000456485,214059270.99999645,214059270.99999645
0,32,1,False,16459300.600013193,994930.000047134,78170913.0000081,78170913.0000081
0,32,2,False,17125338.599976204,992879.9998988325,81485153.00001691,81485153.00001691
0,32,4,False,19098274.199973274,1011719.9999513105,91361382.00005917,91361382.00005917
0,64,1,False,21331520.19998761,965909.9999907995,102317771.00000273,102317771.00000273
0,64,2,False,23293741.999964368,1017009.9999413651,112242009.99993172,112242009.99993172
0,64,4,False,26568113.799976345,978480.0000716131,128677008.99994361,128677008.99994361
0,96,1,False,21387320.19998315,983948.9999876604,102802061.00003397,102802061.00003397
0,96,2,False,29783153.400035188,989059.9999380356,144752987.0000608,144752987.0000608
0,96,3,False,31483285.200033605,980070.000082378,153311367.0000148,153311367.0000148
0,96,4,False,32464997.200031575,986580.0000170566,158190316.00005928,158190316.00005928
0,128,1,False,19526340.200013693,1013420.0000493366,93511981.00000602,93511981.00000602
0,128,2,False,26277641.59999515,1002560.0000744816,127233557.99994351,127233557.99994351
0,128,4,False,32714801.199927025,988879.9999089316,159394255.99992773,159394255.99992773
0,160,1,False,29231337.399983205,999930.0000345102,142051108.0000324,142051108.0000324
0,160,2,False,31477023.4000207,979730.0000400355,153207897.0000157,153207897.0000157
0,160,4,False,38985112.80003732,971480.0000892865,190773094.0000647,190773094.0000647
0,192,1,False,30641047.400013123,997259.9999628074,149010956.99997312,149010956.99997312
0,192,2,False,32170715.20000445,982530.999976916,156677196.0000324,156677196.0000324
0,192,3,False,49576803.60002996,1026860.0000244987,243629119.00004748,243629119.00004748
0,192,4,False,42910940.19999946,973059.9999784317,210350881.0000676,210350881.0000676
0,224,1,False,30942489.199969713,969739.9999595291,150557776.00002784,150557776.00002784
0,224,2,False,30329721.399994016,1012690.0000386741,147463576.9999395,147463576.9999395
0,224,4,False,48436343.79999457,967660.0000148028,238042169.9999715,238042169.9999715
