layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,264439
input_layernorm,1,0,1,417430
q_proj,1,0,1,362105
k_proj,1,0,1,347195
v_proj,1,0,1,345875
rope,1,0,1,705364
o_proj,1,0,1,347034
post_layernorm,1,0,1,422935
gate_proj,1,0,1,349620
up_proj,1,0,1,340300
act_fn,1,0,1,305659
down_proj,1,0,1,347334
final_layernorm,1,0,1,423109
lm_head,1,0,1,1052125
embedding,16,0,1,259835
input_layernorm,16,0,1,415870
q_proj,16,0,1,363615
k_proj,16,0,1,342709
v_proj,16,0,1,343345
rope,16,0,1,699689
o_proj,16,0,1,344484
post_layernorm,16,0,1,414424
gate_proj,16,0,1,355995
up_proj,16,0,1,345949
act_fn,16,0,1,298989
down_proj,16,0,1,353700
final_layernorm,16,0,1,415059
lm_head,16,0,1,1116234
embedding,64,0,1,257089
input_layernorm,64,0,1,410789
q_proj,64,0,1,360269
k_proj,64,0,1,337909
v_proj,64,0,1,340729
rope,64,0,1,692985
o_proj,64,0,1,342559
post_layernorm,64,0,1,410490
gate_proj,64,0,1,353630
up_proj,64,0,1,345120
act_fn,64,0,1,301134
down_proj,64,0,1,352410
final_layernorm,64,0,1,413969
lm_head,64,0,1,1151279
embedding,128,0,1,261609
input_layernorm,128,0,1,414649
q_proj,128,0,1,363315
k_proj,128,0,1,342845
v_proj,128,0,1,344295
rope,128,0,1,701914
o_proj,128,0,1,344120
post_layernorm,128,0,1,412960
gate_proj,128,0,1,371599
up_proj,128,0,1,360915
act_fn,128,0,1,304954
down_proj,128,0,1,365790
final_layernorm,128,0,1,415009
lm_head,128,0,1,1195305
embedding,256,0,1,271375
input_layernorm,256,0,1,417884
q_proj,256,0,1,382319
k_proj,256,0,1,348595
v_proj,256,0,1,349784
rope,256,0,1,710039
o_proj,256,0,1,359399
post_layernorm,256,0,1,422834
gate_proj,256,0,1,403179
up_proj,256,0,1,393464
act_fn,256,0,1,323379
down_proj,256,0,1,395544
final_layernorm,256,0,1,415694
lm_head,256,0,1,1374119
embedding,512,0,1,305739
input_layernorm,512,0,1,457029
q_proj,512,0,1,423664
k_proj,512,0,1,385915
v_proj,512,0,1,384699
rope,512,0,1,740589
o_proj,512,0,1,404940
post_layernorm,512,0,1,457829
gate_proj,512,0,1,489959
up_proj,512,0,1,479225
act_fn,512,0,1,367339
down_proj,512,0,1,471500
final_layernorm,512,0,1,456740
lm_head,512,0,1,2208375
embedding,1024,0,1,334109
input_layernorm,1024,0,1,470675
q_proj,1024,0,1,467485
k_proj,1024,0,1,400189
v_proj,1024,0,1,395915
rope,1024,0,1,752954
o_proj,1024,0,1,440729
post_layernorm,1024,0,1,470695
gate_proj,1024,0,1,605074
up_proj,1024,0,1,596794
act_fn,1024,0,1,403165
down_proj,1024,0,1,574790
final_layernorm,1024,0,1,468605
lm_head,1024,0,1,4008129
embedding,2048,0,1,371154
input_layernorm,2048,0,1,488765
q_proj,2048,0,1,535154
k_proj,2048,0,1,422959
v_proj,2048,0,1,409190
rope,2048,0,1,778124
o_proj,2048,0,1,503584
post_layernorm,2048,0,1,486845
gate_proj,2048,0,1,842335
up_proj,2048,0,1,830479
act_fn,2048,0,1,482724
down_proj,2048,0,1,765209
final_layernorm,2048,0,1,487244
lm_head,2048,0,1,7632415
